Table,Player 1,vs.,Player 2,Player 1,vs.,Player 2
1,"., Dietrichsan (9999000007)",vs.,"., NakNak (9999000009)",".., Dietrichsan (9999000007)",vs.,".., NakNak (9999000009)"
2,"., jonah (9999000010)",vs.,"., Möwe / Vincent (9999000011)",".., jonah (9999000010)",vs.,".., Möwe / Vincent (9999000011)"
3,"., Evilnaga (9999000004)",vs.,"., BenjaminBesser (9999000005)",".., Evilnaga (9999000004)",vs.,".., BenjaminBesser (9999000005)"
4,"., Homecomin / Leon (9999000002)",vs.,"., Aelirenn (9999000003)",".., Homecomin / Leon (9999000002)",vs.,".., Aelirenn (9999000003)"
5,"., Artemis (9999000001)",vs.,"*** BYE ***",".., Artemis (9999000001)",vs.,"*** BYE ***"
